txn_ref,category,expected_status,notes
TXN100000,clean,RECONCILED,
TXN100001,clean,RECONCILED,
TXN100002,clean,RECONCILED,
TXN100003,clean,RECONCILED,
TXN100004,clean,RECONCILED,
TXN100005,clean,RECONCILED,
TXN100006,timing_mismatch,REVIEW,settlement landed 4 days after entry (policy allows 1)
TXN100007,clean,RECONCILED,
TXN100008,clean,RECONCILED,
TXN100009,clean,RECONCILED,
TXN100010,clean,RECONCILED,
TXN100011,clean,RECONCILED,
TXN100012,clean,RECONCILED,
TXN100013,clean,RECONCILED,
TXN100014,clean,RECONCILED,
TXN100015,clean,RECONCILED,
TXN100016,clean,RECONCILED,
TXN100017,clean,RECONCILED,
TXN100018,clean,RECONCILED,
TXN100019,clean,RECONCILED,
TXN100020,clean,RECONCILED,
TXN100021,clean,RECONCILED,
TXN100022,clean,RECONCILED,
TXN100023,clean,RECONCILED,
TXN100024,duplicate_ref,REVIEW,"same ref_number reused on a second, unrelated bank record"
TXN100025,clean,RECONCILED,
TXN100026,clean,RECONCILED,
TXN100027,clean,RECONCILED,
TXN100028,clean,RECONCILED,
TXN100029,clean,RECONCILED,
TXN100030,clean,RECONCILED,
TXN100031,clean,RECONCILED,
TXN100032,clean,RECONCILED,
TXN100033,missing_settlement,EXCEPTION,"ERP entry exists, no corresponding bank record"
TXN100034,clean,RECONCILED,
TXN100035,clean,RECONCILED,
TXN100036,clean,RECONCILED,
TXN100037,clean,RECONCILED,
TXN100038,timing_mismatch,REVIEW,settlement landed 4 days after entry (policy allows 1)
TXN100039,clean,RECONCILED,
TXN100040,clean,RECONCILED,
TXN100041,clean,RECONCILED,
TXN100042,clean,RECONCILED,
TXN100043,clean,RECONCILED,
TXN100044,clean,RECONCILED,
TXN100045,clean,RECONCILED,
TXN100046,clean,RECONCILED,
TXN100047,clean,RECONCILED,
TXN100048,clean,RECONCILED,
TXN100049,clean,RECONCILED,
TXN100050,clean,RECONCILED,
TXN100051,clean,RECONCILED,
TXN100052,clean,RECONCILED,
TXN100053,fee_tax_variance,RECONCILED,₹1379.23 partial refund included in net settlement
TXN100054,clean,RECONCILED,
TXN100055,clean,RECONCILED,
TXN100056,clean,RECONCILED,
TXN100057,clean,RECONCILED,
TXN100058,clean,RECONCILED,
TXN100059,clean,RECONCILED,
TXN100060,split_settlement,RECONCILED,single ERP amount arrived as two separate bank credits
TXN100061,clean,RECONCILED,
TXN100062,clean,RECONCILED,
TXN100063,clean,RECONCILED,
TXN100064,clean,RECONCILED,
TXN100065,clean,RECONCILED,
TXN100066,clean,RECONCILED,
TXN100067,clean,RECONCILED,
TXN100068,clean,RECONCILED,
TXN100069,clean,RECONCILED,
TXN100070,clean,RECONCILED,
TXN100071,fee_tax_variance,RECONCILED,₹0.69 rounding variance beyond standard fee+tax calc
TXN100072,timing_mismatch,REVIEW,settlement landed 4 days after entry (policy allows 1)
TXN100073,clean,RECONCILED,
